engine,max_batch,max_wait_ms,concurrency,duration_s,throughput_inf_s,p50_ms,p95_ms,p99_ms,ok,errors
dummy,16,5,1,10,37.1657,26.81,27.828,28.401,372,0
dummy,16,5,2,10,74.4182,26.804,27.474,27.923,746,0
dummy,16,5,4,10,146.414,27.195,28.4,29.391,1468,0
dummy,16,5,8,10,277.867,28.002,31.958,51.995,2781,0
dummy,16,5,16,10,401.458,38.152,52.975,55.991,4026,0
dummy,16,5,32,10,761.432,41.379,44.834,49.181,7650,0
dummy,16,5,64,10,766.67,82.59,86.21,104.497,7725,0
dummy,16,5,128,10,765.079,166.028,170.659,179.028,7793,0
