engine,max_batch,max_wait_ms,concurrency,duration_s,throughput_inf_s,p50_ms,p95_ms,p99_ms,ok,errors
onnx,16,5,1,20,9.6787,84.517,218.118,313.702,194,0
onnx,16,5,2,20,16.152,115.819,166.172,200.282,324,0
onnx,16,5,4,20,15.5551,249.953,334.159,456.559,313,0
onnx,16,5,8,20,16.9894,451.138,741.179,877.549,348,0
onnx,16,5,16,20,15.5279,1047.75,1388.89,2059.22,321,0
onnx,16,5,32,20,15.8452,1984.81,2281.42,2315.41,342,0
onnx,16,5,64,20,16.5751,3779.06,4127.05,4141.57,390,0
onnx,16,5,128,20,16.9796,7460.69,7676.06,7988.87,453,0
